"data_type","number_of_columns"
"integer",4029
"string",4005
"datetime",3103
"boolean",1103
"text",950
"decimal",131
"float",127
"bigint",74
"date",65
"datetime_with_timezone",33
"jsonb",18
"binary",18
"inet",17
"tsvector",9
"citext",9
"json",8
"uuid",6
"hstore",5
"multi_polygon",4
"time",2
"point",1
