"number_of_columns","number_of_tables"
1,42
2,122
3,212
4,198
5,217
6,187
7,158
8,135
9,77
10,78
11,52
12,47
13,31
14,28
15,20
16,21
17,18
18,13
19,11
20,7
21,8
22,13
23,5
24,6
25,9
26,4
27,2
28,2
29,3
30,6
32,3
33,4
34,3
35,2
37,1
38,1
41,3
42,1
43,2
47,1
48,4
50,1
55,1
57,1
64,1
71,1
